Date,AQI,AQI_Bucket
24-11-2017,95,Satisfactory
25-11-2017,184,Moderate
26-11-2017,197,Moderate
27-11-2017,198,Moderate
28-11-2017,188,Moderate
29-11-2017,173,Moderate
30-11-2017,165,Moderate
01-12-2017,191,Moderate
02-12-2017,191,Moderate
03-12-2017,227,Poor
04-12-2017,168,Moderate
05-12-2017,198,Moderate
06-12-2017,201,Poor
07-12-2017,252,Poor
08-12-2017,310,Very Poor
09-12-2017,196,Moderate
10-12-2017,132,Moderate
11-12-2017,147,Moderate
12-12-2017,179,Moderate
13-12-2017,145,Moderate
14-12-2017,115,Moderate
15-12-2017,140,Moderate
16-12-2017,156,Moderate
17-12-2017,225,Poor
18-12-2017,251,Poor
19-12-2017,228,Poor
20-12-2017,223,Poor
21-12-2017,170,Moderate
22-12-2017,165,Moderate
23-12-2017,159,Moderate
24-12-2017,232,Poor
25-12-2017,242,Poor
26-12-2017,274,Poor
27-12-2017,259,Poor
28-12-2017,225,Poor
29-12-2017,177,Moderate
30-12-2017,120,Moderate
31-12-2017,120,Moderate
01-01-2018,120,Moderate
02-01-2018,132,Moderate
03-01-2018,136,Moderate
04-01-2018,182,Moderate
05-01-2018,222,Poor
06-01-2018,230,Poor
07-01-2018,224,Poor
08-01-2018,217,Poor
09-01-2018,230,Poor
10-01-2018,229,Poor
11-01-2018,229,Poor
12-01-2018,235,Poor
13-01-2018,214,Poor
14-01-2018,186,Moderate
15-01-2018,172,Moderate
16-01-2018,138,Moderate
17-01-2018,125,Moderate
18-01-2018,132,Moderate
19-01-2018,111,Moderate
20-01-2018,137,Moderate
21-01-2018,172,Moderate
22-01-2018,160,Moderate
23-01-2018,163,Moderate
24-01-2018,165,Moderate
25-01-2018,139,Moderate
26-01-2018,176,Moderate
27-01-2018,162,Moderate
28-01-2018,160,Moderate
29-01-2018,142,Moderate
30-01-2018,172,Moderate
31-01-2018,134,Moderate
01-02-2018,136,Moderate
02-02-2018,130,Moderate
03-02-2018,111,Moderate
04-02-2018,117,Moderate
05-02-2018,102,Moderate
06-02-2018,108,Moderate
07-02-2018,99,Satisfactory
08-02-2018,121,Moderate
09-02-2018,86,Satisfactory
10-02-2018,57,Satisfactory
11-02-2018,107,Moderate
12-02-2018,118,Moderate
13-02-2018,110,Moderate
14-02-2018,114,Moderate
15-02-2018,111,Moderate
16-02-2018,117,Moderate
17-02-2018,107,Moderate
18-02-2018,87,Satisfactory
19-02-2018,89,Satisfactory
20-02-2018,97,Satisfactory
21-02-2018,100,Satisfactory
22-02-2018,105,Moderate
23-02-2018,114,Moderate
24-02-2018,116,Moderate
25-02-2018,116,Moderate
26-02-2018,98,Satisfactory
27-02-2018,116,Moderate
28-02-2018,108,Moderate
01-03-2018,100,Satisfactory
02-03-2018,92,Satisfactory
03-03-2018,80,Satisfactory
04-03-2018,88,Satisfactory
05-03-2018,83,Satisfactory
06-03-2018,100,Satisfactory
07-03-2018,81,Satisfactory
08-03-2018,112,Moderate
09-03-2018,113,Moderate
10-03-2018,105,Moderate
11-03-2018,88,Satisfactory
12-03-2018,78,Satisfactory
13-03-2018,78,Satisfactory
14-03-2018,69,Satisfactory
15-03-2018,60,Satisfactory
16-03-2018,51,Satisfactory
17-03-2018,61,Satisfactory
18-03-2018,90,Satisfactory
19-03-2018,74,Satisfactory
20-03-2018,76,Satisfactory
21-03-2018,95,Satisfactory
22-03-2018,92,Satisfactory
23-03-2018,93,Satisfactory
24-03-2018,88,Satisfactory
25-03-2018,75,Satisfactory
26-03-2018,79,Satisfactory
27-03-2018,74,Satisfactory
28-03-2018,62,Satisfactory
29-03-2018,53,Satisfactory
30-03-2018,53,Satisfactory
31-03-2018,55,Satisfactory
01-04-2018,52,Satisfactory
02-04-2018,55,Satisfactory
03-04-2018,56,Satisfactory
04-04-2018,56,Satisfactory
05-04-2018,52,Satisfactory
06-04-2018,95,Satisfactory
07-04-2018,76,Satisfactory
08-04-2018,76,Satisfactory
09-04-2018,81,Satisfactory
10-04-2018,59,Satisfactory
11-04-2018,95,Satisfactory
12-04-2018,95,Satisfactory
13-04-2018,46,Good
14-04-2018,40,Good
15-04-2018,33,Good
16-04-2018,49,Good
17-04-2018,32,Good
18-04-2018,95,Satisfactory
19-04-2018,42,Good
20-04-2018,95,Satisfactory
21-04-2018,53,Satisfactory
22-04-2018,47,Good
23-04-2018,95,Satisfactory
24-04-2018,95,Satisfactory
25-04-2018,79,Satisfactory
26-04-2018,95,Satisfactory
27-04-2018,47,Good
28-04-2018,51,Satisfactory
29-04-2018,52,Satisfactory
30-04-2018,95,Satisfactory
01-05-2018,88,Satisfactory
02-05-2018,78,Satisfactory
03-05-2018,90,Satisfactory
04-05-2018,43,Good
05-05-2018,95,Satisfactory
06-05-2018,95,Satisfactory
07-05-2018,95,Satisfactory
08-05-2018,95,Satisfactory
09-05-2018,55,Satisfactory
10-05-2018,95,Satisfactory
11-05-2018,52,Satisfactory
12-05-2018,95,Satisfactory
13-05-2018,84,Satisfactory
14-05-2018,95,Satisfactory
15-05-2018,58,Satisfactory
16-05-2018,95,Satisfactory
17-05-2018,125,Moderate
18-05-2018,192,Moderate
19-05-2018,95,Satisfactory
20-05-2018,81,Satisfactory
21-05-2018,95,Satisfactory
22-05-2018,65,Satisfactory
23-05-2018,95,Satisfactory
24-05-2018,86,Satisfactory
25-05-2018,62,Satisfactory
26-05-2018,78,Satisfactory
27-05-2018,114,Moderate
28-05-2018,103,Moderate
29-05-2018,134,Moderate
30-05-2018,168,Moderate
31-05-2018,150,Moderate
01-06-2018,127,Moderate
02-06-2018,106,Moderate
03-06-2018,129,Moderate
04-06-2018,136,Moderate
05-06-2018,155,Moderate
06-06-2018,87,Satisfactory
07-06-2018,84,Satisfactory
08-06-2018,85,Satisfactory
09-06-2018,91,Satisfactory
10-06-2018,76,Satisfactory
11-06-2018,60,Satisfactory
12-06-2018,69,Satisfactory
13-06-2018,64,Satisfactory
14-06-2018,98,Satisfactory
15-06-2018,128,Moderate
16-06-2018,113,Moderate
17-06-2018,87,Satisfactory
18-06-2018,79,Satisfactory
19-06-2018,69,Satisfactory
20-06-2018,78,Satisfactory
21-06-2018,88,Satisfactory
22-06-2018,101,Moderate
23-06-2018,80,Satisfactory
24-06-2018,89,Satisfactory
25-06-2018,71,Satisfactory
26-06-2018,68,Satisfactory
27-06-2018,56,Satisfactory
28-06-2018,65,Satisfactory
29-06-2018,66,Satisfactory
30-06-2018,96,Satisfactory
01-07-2018,68,Satisfactory
02-07-2018,76,Satisfactory
03-07-2018,70,Satisfactory
04-07-2018,75,Satisfactory
05-07-2018,73,Satisfactory
06-07-2018,85,Satisfactory
07-07-2018,83,Satisfactory
08-07-2018,73,Satisfactory
09-07-2018,75,Satisfactory
10-07-2018,63,Satisfactory
11-07-2018,62,Satisfactory
12-07-2018,79,Satisfactory
13-07-2018,37,Good
14-07-2018,35,Good
15-07-2018,31,Good
16-07-2018,29,Good
17-07-2018,32,Good
18-07-2018,39,Good
19-07-2018,48,Good
20-07-2018,42,Good
21-07-2018,73,Satisfactory
22-07-2018,59,Satisfactory
23-07-2018,95,Satisfactory
24-07-2018,55,Satisfactory
25-07-2018,86,Satisfactory
26-07-2018,100,Satisfactory
27-07-2018,85,Satisfactory
28-07-2018,57,Satisfactory
29-07-2018,85,Satisfactory
30-07-2018,85,Satisfactory
31-07-2018,106,Moderate
01-08-2018,100,Satisfactory
02-08-2018,68,Satisfactory
03-08-2018,61,Satisfactory
04-08-2018,71,Satisfactory
05-08-2018,77,Satisfactory
06-08-2018,95,Satisfactory
07-08-2018,111,Moderate
08-08-2018,47,Good
09-08-2018,47,Good
10-08-2018,48,Good
11-08-2018,49,Good
12-08-2018,50,Good
13-08-2018,57,Satisfactory
14-08-2018,60,Satisfactory
15-08-2018,52,Satisfactory
16-08-2018,54,Satisfactory
17-08-2018,63,Satisfactory
18-08-2018,53,Satisfactory
19-08-2018,56,Satisfactory
20-08-2018,95,Satisfactory
21-08-2018,112,Moderate
22-08-2018,75,Satisfactory
23-08-2018,95,Satisfactory
24-08-2018,89,Satisfactory
25-08-2018,76,Satisfactory
26-08-2018,78,Satisfactory
27-08-2018,66,Satisfactory
28-08-2018,61,Satisfactory
29-08-2018,83,Satisfactory
30-08-2018,87,Satisfactory
31-08-2018,97,Satisfactory
01-09-2018,98,Satisfactory
02-09-2018,99,Satisfactory
03-09-2018,94,Satisfactory
04-09-2018,98,Satisfactory
05-09-2018,102,Moderate
06-09-2018,96,Satisfactory
